      S. No.,        State / UT,       Total Confirmed cases (Indian National),       Total Confirmed cases ( Foreign National ), 	  Cured/Discharged, 	  Death
      1,       Andhra Pradesh,       1,       0, 	  0, 	  0
      2,       Delhi,       7,       0, 	  2, 	  1
      3,       Haryana,       0,       14, 	  0, 	  0
      4,       Karnataka,       6,       0, 	  0, 	  1
      5,       Kerala,       22,       0, 	  3, 	  0
      6,       Maharashtra,       32,       0, 	  0, 	  0
      7,       Punjab,       1,       0, 	  0, 	  0
      8,       Rajasthan,       2,       2, 	  3, 	  0
      9,       Tamil Nadu,       1,       0, 	  0, 	  0
      10,       Telengana,       3,       0, 	  1, 	  0
      11,        Jammu and Kashmir,       2,       0, 	  0, 	  0
      12,        Leh,       3,       0, 	  0, 	  0
      13,       Uttar Pradesh,       12,       1, 	  4, 	  0
      14,       Uttarakhand,       1,       0, 	  0, 	  0
