      S. No.,        State / UT,        Indian National,         Foreign National , 	  Cured/Discharged, 	  Death
      1,       Andhra Pradesh,       1,       0, 	  0, 	  0
      2,       Delhi,       8,       0, 	  2, 	  1
      3,       Haryana,       1,       14, 	  0, 	  0
      4,       Karnataka,       11,       0, 	  0, 	  1
      5,       Kerala,       24,       2, 	  3, 	  0
      6,       Maharashtra,       36,       3, 	  0, 	  1
      7,       Odisha,       1,       0, 	  0, 	  0
      8,       Punjab,       1,       0, 	  0, 	  0
      9,       Rajasthan,       2,       2, 	  3, 	  0
      10,       Tamil Nadu,       1,       0, 	  0, 	  0
      11,       Telengana,       3,       2, 	  1, 	  0
      12,        Jammu and Kashmir,       3,       0, 	  0, 	  0
      13,        Leh,       6,       0, 	  0, 	  0
      14,       Uttar Pradesh,       14,       1, 	  5, 	  0
      15,       Uttarakhand,       1,       0, 	  0, 	  0
